"id" "reference_number" "species_number" "record" "passive_methods" "complementary_methods" "month_start" "year_start" "month_finish" "year_finish" "effort_months" "country" "state" "state_abbreviation" "municipality" "latitude" "longitude" "coordinate_precision" "altitude" "temperature" "precipitation"
"81" "amp1081" 1021 9 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.705555556 -35.85277778 "gms" 652 20.71 1090
"82" "amp1082" 1021 21 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.71 -35.85638889 "gms" 687 20.5 1095
"83" "amp1083" 1021 27 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.693333333 -35.85555556 "gms" 588 21.06 1100
"84" "amp1084" 1022 19 "co" "pt" NA 7 2007 9 2008 14 "Brazil" "Pernambuco" "BR-PE" "Jaqueira" -8.716111111 -35.83888889 "gms" 633 20.86 1149
"85" "amp1085" 1022 20 "co" "pt" NA 7 2007 9 2008 14 "Brazil" "Pernambuco" "BR-PE" "Jaqueira" -8.720833333 -35.84694444 "gms" 642 20.77 1138
"86" "amp1086" 1022 26 "co" "pt" NA 7 2007 9 2008 14 "Brazil" "Pernambuco" "BR-PE" "Jaqueira" -8.728611111 -35.84638889 "gms" 652 20.72 1147
"87" "amp1087" 1022 10 "co" NA NA 7 2007 9 2008 14 "Brazil" "Pernambuco" "BR-PE" "Jaqueira" -8.732777778 -35.845 "gms" 652 20.72 1147
"88" "amp1088" 1022 6 "co" "pt" NA 7 2007 9 2008 14 "Brazil" "Pernambuco" "BR-PE" "Jaqueira" -8.722777778 -35.84138889 "gms" 570 21.25 1201
"89" "amp1089" 1023 30 "ab" NA NA 3 1994 12 1994 9 "Brazil" "Pernambuco" "BR-PE" "Igarassu" -7.800555556 -34.93361111 "gm" 72 24.66 1852
"90" "amp1090" 1024 35 "co" "pt" NA 1 1993 12 2008 191 "Brazil" "Pernambuco" "BR-PE" "São Lourenço da Mata" -8.039444444 -35.19694444 "gm" 135 24.24 1131
"91" "amp1091" 1025 28 "co" NA NA 3 2004 10 2004 7 "Brazil" "Pernambuco" "BR-PE" "Aldeia" -7.960833333 -34.9825 "gms" 98 24.46 1546
"92" "amp1092" 1026 27 "co" NA NA NA NA NA NA NA "Brazil" "Alagoas" "BR-AL" "Teotônio Vilela" -9.938611111 -36.37138889 "gms" 108 24.36 1101
"93" "amp1093" 1027 32 "ab" NA NA 6 2011 8 2011 2 "Brazil" "Alagoas" "BR-AL" "Boca da Mata" -9.690833333 -36.20027778 "gms" 137 24.11 1307
"94" "amp1094" 1028 29 "co" "pt" "ae" 6 2006 8 2007 14 "Brazil" "Alagoas" "BR-AL" "Campo Alegre" -9.758888889 -36.23583333 "gms" 163 23.86 1222
"95" "amp1095" 1029 5 "ab" NA NA 11 2013 7 2014 8 "Brazil" "Alagoas" "BR-AL" "Murici" -9.211666667 -35.86444444 "gms" 524 21.57 1788
"96" "amp1096" 1029 4 "ab" NA NA 11 2013 7 2014 8 "Brazil" "Alagoas" "BR-AL" "Murici" -9.2175 -35.87555556 "gms" 519 21.59 1766
"97" "amp1097" 1030 23 "ab" NA NA 5 NA 9 NA NA "Brazil" "Sergipe" "BR-SE" "Areia Branca" -10.66666667 -37.41666667 NA 169 24.33 1190
"98" "amp1098" 1031 33 "co" "pt" "ae" 9 2009 9 2009 0 "Brazil" "Sergipe" "BR-SE" "Capela" -10.54166667 -37.05833333 "gms" 137 24.54 1250
"99" "amp1099" 1032 18 "co" NA NA 5 1997 8 1997 3 "Brazil" "Sergipe" "BR-SE" "Aracaju e São Cristóvão" -10.9275 -37.07388889 "gm" 10 25.9 1510
"100" "amp1100" 1033 21 "ab" NA NA 10 2012 9 2013 11 "Brazil" "Sergipe" "BR-SE" "Capela" -10.53333333 -37.05 "gm" 117 24.68 1235
"101" "amp1101" 1034 26 "ab" "pt" NA 9 2004 8 2005 11 "Brazil" "Bahia" "BR-BA" "Mata de São João" -12.56638889 -38.03833333 "gms" 44 24.68 1699
"102" "amp1102" 1034 14 "ab" "pt" NA 9 2004 8 2005 11 "Brazil" "Bahia" "BR-BA" "Mata de São João" -12.57 -38.00111111 "gms" 6 24.97 1678
"103" "amp1103" 1035 48 "co" "pt" NA 2 2007 12 2008 22 "Brazil" "Bahia" "BR-BA" "Igrapiúna" -13.77472222 -39.18527778 "gm" 140 23.55 2095
"104" "amp1104" 1036 16 "co" NA NA 11 2009 11 2009 0 "Brazil" "Bahia" "BR-BA" "Lauro de Freitas" -12.88388889 -38.33916667 "gms" 19 25.14 1943
"105" "amp1105" 1037 80 "co" "pt" "ae" 12 2008 11 2010 23 "Brazil" "Bahia" "BR-BA" "Camacan e Pau-Brasil" -15.39361111 -39.56583333 "gm" 729 20.34 1274
"106" "amp1106" 1038 33 "co" NA "ae" 2 2011 2 2011 0 "Brazil" "Bahia" "BR-BA" "Almadina" -14.762575 -39.649557 "dd" 624 20.69 1311
"107" "amp1107" 1038 38 "co" NA "ae" 2 2011 2 2011 0 "Brazil" "Bahia" "BR-BA" "Almadina" -14.700156 -39.59601 "dd" 681 20.44 1369
"108" "amp1108" 1038 40 "co" NA "ae" 2 2011 2 2011 0 "Brazil" "Bahia" "BR-BA" "Ilhéus" -14.487317 -39.45076 "dd" 481 21.68 1572
"109" "amp1109" 1038 40 "co" NA "ae" 2 2011 2 2011 0 "Brazil" "Bahia" "BR-BA" "Ilhéus" -14.534158 -39.115587 "dd" 117 23.93 1955
"110" "amp1110" 1039 13 "ab" "pt" NA 10 1999 2 2000 4 "Brazil" "Bahia" "BR-BA" "Una" -15.17305556 -39.12944444 NA 93 23.92 1759
"111" "amp1111" 1039 12 "ab" "pt" NA 4 2002 5 2002 1 "Brazil" "Bahia" "BR-BA" "Ilhéus" -14.69833333 -39.22111111 NA 80 24.17 1734
"112" "amp1112" 1040 7 "co" NA "in" 12 2004 12 2004 0 "Brazil" "Bahia" "BR-BA" "Salvador" -12.93805556 -38.41972222 NA 49 25.13 2018
"113" "amp1113" 1041 5 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.90305556 -37.59166667 "gms" 19 25 1572
"114" "amp1114" 1041 5 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.91888889 -37.60166667 "gms" 25 24.94 1589
"115" "amp1115" 1041 5 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.9625 -37.63111111 "gms" 10 24.97 1586
"116" "amp1116" 1041 18 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.94138889 -37.60694444 "gms" 6 25.02 1564
"117" "amp1117" 1041 12 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.83222222 -37.55805556 "gms" 2 NA NA
"118" "amp1118" 1041 8 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.88694444 -37.58222222 "gms" 3 NA NA
"119" "amp1119" 1041 8 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.94666667 -37.61305556 "gms" 25 24.9 1589
"120" "amp1120" 1041 2 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.82583333 -37.55194444 "gms" 2 NA NA
"121" "amp1121" 1041 2 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.99861111 -37.66138889 "gms" 48 24.72 1627
"122" "amp1122" 1041 1 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.99166667 -37.63444444 "gms" 32 24.83 1598
"123" "amp1123" 1041 1 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -12.005 -37.63972222 "gms" 10 24.94 1604
"124" "amp1124" 1041 13 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.99888889 -37.67972222 "gms" 30 24.78 1660
"125" "amp1125" 1041 2 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -12.00694444 -37.68194444 "gms" 27 24.8 1653
"126" "amp1126" 1041 6 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.9975 -37.6475 "gms" 37 24.78 1610
"127" "amp1127" 1041 3 "co" NA NA 7 2015 11 2015 4 "Brazil" "Bahia" "BR-BA" "Conde" -11.81527778 -37.62111111 "gms" 7 25.03 1571
"128" "amp1128" 1042 2 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.40638889 -38.47583333 NA 117 24.05 1434
"129" "amp1129" 1042 2 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.38694444 -38.47944444 NA 146 23.88 1418
"130" "amp1130" 1042 2 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.395 -38.4975 NA 141 23.9 1418
"131" "amp1131" 1042 1 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.40472222 -38.49361111 NA 153 23.83 1423
"132" "amp1132" 1042 2 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.40583333 -38.45527778 NA 158 23.81 1455
"133" "amp1133" 1042 9 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "São Sebastião do Passé" -12.4325 -38.56027778 NA 123 23.95 1425
"134" "amp1134" 1042 3 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.36888889 -38.45555556 NA 186 23.64 1417
"135" "amp1135" 1042 1 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.38833333 -38.44138889 NA 137 23.95 1429
"136" "amp1136" 1042 1 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.395 -38.44972222 NA 159 23.81 1444
"137" "amp1137" 1042 21 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "São Sebastião do Passé" -12.45083333 -38.405 NA 155 23.86 1509
"138" "amp1138" 1042 1 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.39388889 -38.38694444 NA 163 23.79 1469
"139" "amp1139" 1042 11 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "São Sebastião do Passé" -12.50944444 -38.45305556 NA 141 24 1580
"140" "amp1140" 1042 9 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Pojuca" -12.39083333 -38.37055556 NA 101 24.16 1471
"141" "amp1141" 1042 5 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Catu" -12.36555556 -38.37361111 NA 136 23.97 1461
"142" "amp1142" 1042 1 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Pojuca" -12.405 -38.37111111 NA 106 24.12 1481
"143" "amp1143" 1042 2 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "São Sebastião do Passé" -12.56222222 -38.41916667 NA 108 24.21 1656
"144" "amp1144" 1042 4 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Pojuca" -12.42305556 -38.36694444 NA 131 23.97 1489
"145" "amp1145" 1042 6 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "São Sebastião do Passé" -12.52472222 -38.41472222 NA 115 24.09 1605
"146" "amp1146" 1042 4 "ab" NA NA 5 NA 12 NA NA "Brazil" "Bahia" "BR-BA" "Araçás" -12.26638889 -38.29027778 NA 132 23.85 1459
